datetime,temp,pressure,humidity,wind_direction,wind_speed,u,v,pressure_24h
2024-01-16 09:00:00,27.0,1014.3,50.0,220.0,4.0,2.5711504387461575,3.064177772475912,1016.0416666666666
2024-01-16 12:00:00,26.2,1012.1,72.0,210.0,5.0,2.5000000000000004,4.330127018922193,1015.9083333333333
2024-01-16 15:00:00,26.0,1012.4,53.0,270.0,5.0,5.0,0.0,1015.7708333333334
2024-01-16 18:00:00,21.0,1012.5,71.0,100.0,2.0,-1.969615506024416,0.34729635533386055,1015.6041666666666
2024-01-16 21:00:00,18.9,1011.7,81.0,310.0,2.0,1.532088886237956,-1.2855752193730785,1015.4333333333333
2024-01-17 00:00:00,16.9,1011.3,91.0,300.0,2.0,1.7320508075688774,-0.9999999999999999,1015.2625000000002
2024-01-17 03:00:00,19.0,1011.9,93.0,40.0,2.0,-1.285575219373079,-1.5320888862379558,1015.0749999999999
2024-01-17 06:00:00,24.9,1013.8,70.0,60.0,4.0,-3.4641016151377544,-2.0000000000000004,1014.8791666666666
2024-01-17 09:00:00,27.2,1011.9,52.0,230.0,4.0,3.064177772475912,2.571150438746157,1014.6958333333333
2024-01-17 12:00:00,26.4,1010.9,45.0,200.0,6.0,2.052120859954013,5.63815572471545,1014.525
2024-01-17 15:00:00,23.6,1013.1,54.0,250.0,4.0,3.7587704831436337,1.3680805733026749,1014.4041666666667
2024-01-17 18:00:00,22.2,1013.7,55.0,250.0,3.0,2.8190778623577253,1.0260604299770062,1014.2583333333333
2024-01-17 21:00:00,16.300001,1013.7,73.0,350.0,3.0,0.5209445330007912,-2.954423259036624,1014.125
2024-01-18 00:00:00,14.5,1013.5,76.0,30.0,2.0,-1.0000000000000009,-1.7320508075688767,1013.9874999999998
2024-01-18 03:00:00,13.2,1014.3,77.0,330.0,2.0,1.0000000000000002,-1.7320508075688772,1013.8291666666668
2024-01-18 06:00:00,25.0,1015.7,42.0,280.0,2.0,1.969615506024416,-0.34729635533386066,1013.6916666666666
2024-01-18 09:00:00,26.6,1013.6,47.0,200.0,5.0,1.7101007166283442,4.698463103929542,1013.5916666666667
2024-01-18 12:00:00,26.5,1012.7,47.0,240.0,5.0,4.330127018922194,2.4999999999999996,1013.5291666666667
2024-01-18 15:00:00,24.0,1014.2,59.0,260.0,3.0,2.954423259036624,0.520944533000791,1013.5125000000002
2024-01-18 18:00:00,22.5,1015.8,68.0,270.0,3.0,3.0,0.0,1013.5375
2024-01-18 21:00:00,19.800001,1015.4,75.0,270.0,2.0,2.0,0.0,1013.5583333333333
2024-01-19 00:00:00,17.2,1015.0,82.0,350.0,2.0,0.34729635533386083,-1.969615506024416,1013.5833333333334
2024-01-19 03:00:00,16.6,1016.0,81.0,250.0,2.0,1.8793852415718169,0.6840402866513374,1013.6041666666666
2024-01-19 06:00:00,24.1,1017.8,59.0,50.0,2.0,-1.532088886237956,-1.2855752193730785,1013.6375000000002
2024-01-19 09:00:00,26.1,1016.0,52.0,240.0,4.0,3.464101615137755,1.9999999999999998,1013.7083333333334
2024-01-19 12:00:00,24.800001,1014.8,64.0,210.0,5.0,2.5000000000000004,4.330127018922193,1013.8208333333333
2024-01-19 15:00:00,23.800001,1016.4,65.0,260.0,3.0,2.954423259036624,0.520944533000791,1013.9875000000001
2024-01-19 18:00:00,21.9,1017.8,69.0,99.0,1.0,-0.9876883405951377,0.15643446504023098,1014.2083333333331
2024-01-19 21:00:00,18.5,1018.0,79.0,330.0,2.0,1.0000000000000002,-1.7320508075688772,1014.4708333333333
2024-01-20 00:00:00,17.9,1017.6,75.0,340.0,3.0,1.0260604299770064,-2.819077862357725,1014.7333333333335
2024-01-20 03:00:00,16.7,1019.0,70.0,0.0,0.0,-0.0,-0.0,1015.0291666666667
2024-01-20 06:00:00,24.6,1021.6,51.0,40.0,3.0,-1.9283628290596184,-2.2981333293569337,1015.3541666666666
2024-01-20 09:00:00,28.1,1018.6,30.0,360.0,3.0,1.8369701987210297e-16,-3.0,1015.6333333333333
2024-01-20 12:00:00,26.7,1017.7,38.0,240.0,3.0,2.598076211353316,1.4999999999999998,1015.9166666666666
2024-01-20 15:00:00,22.6,1018.2,56.0,260.0,2.0,1.969615506024416,0.34729635533386066,1016.1291666666666
2024-01-20 18:00:00,17.2,1019.3,63.0,0.0,0.0,-0.0,-0.0,1016.3624999999998
2024-01-20 21:00:00,16.7,1018.6,65.0,340.0,3.0,1.0260604299770064,-2.819077862357725,1016.5666666666667
2024-01-21 00:00:00,14.3,1017.7,74.0,330.0,3.0,1.5000000000000004,-2.598076211353316,1016.7416666666667
2024-01-21 03:00:00,12.900001,1017.4,79.0,0.0,0.0,-0.0,-0.0,1016.8708333333333
2024-01-21 06:00:00,23.1,1020.0,44.0,90.0,2.0,-2.0,2.4492935982947064e-16,1017.0499999999998
2024-01-21 09:00:00,26.0,1017.4,43.0,250.0,3.0,2.8190778623577253,1.0260604299770062,1017.2083333333334
2024-01-21 12:00:00,25.800001,1015.8,48.0,260.0,5.0,4.92403876506104,0.8682408883346516,1017.3375
2024-01-21 15:00:00,23.7,1016.5,55.0,260.0,5.0,4.92403876506104,0.8682408883346516,1017.4333333333333
2024-01-21 18:00:00,22.2,1017.3,66.0,270.0,5.0,5.0,0.0,1017.4958333333333
2024-01-21 21:00:00,20.300001,1017.0,71.0,270.0,2.0,2.0,0.0,1017.5625
2024-01-22 00:00:00,16.0,1017.0,81.0,360.0,3.0,1.8369701987210297e-16,-3.0,1017.6458333333334
2024-01-22 03:00:00,15.400001,1017.6,84.0,310.0,3.0,2.298133329356934,-1.9283628290596178,1017.7125000000001
2024-01-22 06:00:00,22.9,1020.9,62.0,30.0,3.0,-1.5000000000000013,-2.598076211353315,1017.8416666666667
2024-01-22 09:00:00,26.2,1019.1,45.0,220.0,4.0,2.5711504387461575,3.064177772475912,1017.9708333333333
2024-01-22 12:00:00,26.4,1017.9,40.0,250.0,4.0,3.7587704831436337,1.3680805733026749,1018.0999999999999
2024-01-22 15:00:00,22.300001,1019.3,68.0,260.0,2.0,1.969615506024416,0.34729635533386066,1018.2208333333333
2024-01-22 18:00:00,18.800001,1019.5,82.0,260.0,2.0,1.969615506024416,0.34729635533386066,1018.2916666666666
2024-01-22 21:00:00,15.3,1019.8,82.0,20.0,3.0,-1.0260604299770058,-2.8190778623577253,1018.3666666666668
2024-01-23 00:00:00,14.2,1019.7,84.0,340.0,3.0,1.0260604299770064,-2.819077862357725,1018.4541666666665
2024-01-23 03:00:00,14.3,1020.1,83.0,330.0,3.0,1.5000000000000004,-2.598076211353316,1018.5
2024-01-23 06:00:00,22.2,1020.9,65.0,30.0,3.0,-1.5000000000000013,-2.598076211353315,1018.4708333333333
2024-01-23 09:00:00,25.4,1019.1,54.0,230.0,3.0,2.298133329356934,1.9283628290596178,1018.4916666666667
2024-01-23 12:00:00,26.2,1017.1,44.0,240.0,4.0,3.464101615137755,1.9999999999999998,1018.4666666666666
2024-01-23 15:00:00,23.0,1017.5,65.0,250.0,2.0,1.8793852415718169,0.6840402866513374,1018.4375
2024-01-23 18:00:00,21.800001,1018.7,61.0,260.0,3.0,2.954423259036624,0.520944533000791,1018.4124999999999
2024-01-23 21:00:00,19.800001,1017.7,71.0,340.0,3.0,1.0260604299770064,-2.819077862357725,1018.375
2024-01-24 00:00:00,17.6,1017.7,80.0,330.0,2.0,1.0000000000000002,-1.7320508075688772,1018.375
